City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Neyshabur,IR,36.2133,58.7958,83.26,20,13,6.17,few clouds
1,Jamestown,US,42.097,-79.2353,83.95,61,20,9.22,few clouds
2,Kodiak,US,57.79,-152.4072,54.91,88,100,5.75,light rain
3,Busselton,AU,-33.65,115.3333,52.45,77,97,1.28,overcast clouds
4,Longyearbyen,SJ,78.2186,15.6401,49.84,81,75,4.61,light intensity drizzle
5,Talcahuano,CL,-36.7167,-73.1167,51.48,100,100,13.8,drizzle
6,Sarai Alamgir,PK,32.9012,73.7559,84.85,76,44,4.47,scattered clouds
7,Rikitea,PF,-23.1203,-134.9692,70.88,63,84,21.14,broken clouds
8,Castro,BR,-24.7911,-50.0119,63.59,76,95,7.0,overcast clouds
9,Ostrovnoy,RU,68.0531,39.5131,67.37,72,100,12.64,overcast clouds
10,Victoria,HK,22.2855,114.1577,81.32,92,86,5.01,overcast clouds
11,New Norfolk,AU,-42.7826,147.0587,47.91,72,90,1.99,overcast clouds
12,Saint-Philippe,RE,-21.3585,55.7679,69.39,75,44,12.82,scattered clouds
13,Pontian Kecil,MY,1.4801,103.3899,79.12,81,100,3.6,overcast clouds
14,Namibe,AO,-15.1961,12.1522,63.23,77,75,11.5,broken clouds
15,Bamako,ML,12.65,-8.0,86.41,58,40,3.44,light rain
16,Manuk Mangkaw,PH,4.8,119.85,83.35,72,100,5.57,overcast clouds
17,Kinsale,IE,51.7075,-8.5306,70.23,48,75,14.97,broken clouds
18,Hualmay,PE,-11.0964,-77.6139,64.69,73,100,9.62,overcast clouds
19,Kyabe,TD,9.4515,18.9449,78.75,86,93,3.53,light rain
20,Lipin Bor,RU,60.2622,37.9763,75.18,59,10,5.37,clear sky
21,Castanos,MX,26.7833,-101.4167,83.34,59,0,4.61,clear sky
22,Punta Arenas,CL,-53.15,-70.9167,39.22,81,75,6.91,broken clouds
23,Chokurdakh,RU,70.6333,147.9167,38.34,91,57,7.07,broken clouds
24,Arraial Do Cabo,BR,-22.9661,-42.0278,93.16,54,0,8.05,clear sky
25,Atuona,PF,-9.8,-139.0333,76.59,71,59,17.25,broken clouds
26,Provideniya,RU,64.3833,-173.3,45.43,88,100,17.13,moderate rain
27,Shubarkuduk,KZ,49.1447,56.4872,79.27,29,84,10.29,broken clouds
28,Vaini,TO,-21.2,-175.2,75.36,94,100,4.61,overcast clouds
29,Khatanga,RU,71.9667,102.5,56.55,66,0,7.67,clear sky
30,Hilo,US,19.7297,-155.09,77.29,85,20,4.61,few clouds
31,Esperance,AU,-33.8667,121.9,48.04,71,100,6.29,overcast clouds
32,Mahebourg,MU,-20.4081,57.7,70.25,73,40,11.5,scattered clouds
33,Hermanus,ZA,-34.4187,19.2345,57.99,75,21,9.82,few clouds
34,Ushuaia,AR,-54.8,-68.3,40.66,87,75,16.11,light rain
35,Portland,US,45.5234,-122.6762,65.89,77,20,5.99,few clouds
36,Thompson,CA,55.7435,-97.8558,55.56,100,100,8.05,overcast clouds
37,Yining,CN,29.0361,114.5636,79.12,79,7,2.51,clear sky
38,Vestmanna,FO,62.1564,-7.1664,52.72,66,20,12.66,few clouds
39,Bluff,NZ,-46.6,168.3333,50.14,87,90,11.34,overcast clouds
40,Lae,PG,-6.7221,146.9847,75.51,80,63,5.97,broken clouds
41,Togul,RU,53.465,85.9128,56.1,70,1,4.85,clear sky
42,Albany,US,42.6001,-73.9662,83.68,94,100,4.03,overcast clouds
43,Kavieng,PG,-2.5744,150.7967,80.89,76,100,6.62,overcast clouds
44,Pevek,RU,69.7008,170.3133,34.3,99,100,3.18,snow
45,Puerto Ayora,EC,-0.7393,-90.3518,75.16,90,39,5.99,scattered clouds
46,Mataura,NZ,-46.1927,168.8643,47.55,89,100,3.96,overcast clouds
47,Kota Kinabalu,MY,5.9749,116.0724,75.18,100,40,5.01,light rain
48,George,ZA,-33.963,22.4617,56.75,82,40,8.05,scattered clouds
49,Bonavista,CA,48.6499,-53.1147,71.55,69,86,12.62,overcast clouds
50,Kruisfontein,ZA,-34.0033,24.7314,56.12,84,65,11.88,broken clouds
51,Severo-Kurilsk,RU,50.6789,156.125,53.28,89,100,5.23,overcast clouds
52,Tasiilaq,GL,65.6145,-37.6368,41.77,74,15,3.4,few clouds
53,Port Hardy,CA,50.6996,-127.4199,55.58,94,75,0.0,broken clouds
54,Tecoanapa,MX,16.5167,-98.75,83.95,67,15,1.23,few clouds
55,Hershey,US,40.2859,-76.6503,84.06,74,0,6.91,clear sky
56,Mar Del Plata,AR,-38.0023,-57.5575,56.08,80,40,10.36,scattered clouds
57,Saskylakh,RU,71.9167,114.0833,50.27,85,24,1.57,few clouds
58,Okha,RU,53.5739,142.9478,54.0,92,94,19.77,overcast clouds
59,Dikson,RU,73.5069,80.5464,45.99,92,92,16.91,overcast clouds
60,Rawlins,US,41.7911,-107.2387,80.49,28,0,8.05,clear sky
61,Chadiza,ZM,-14.0678,32.4392,71.38,32,0,6.31,clear sky
62,Qaanaaq,GL,77.484,-69.3632,42.85,58,10,0.54,clear sky
63,Gizo,SB,-8.103,156.8419,81.37,67,32,3.78,scattered clouds
64,Naze,JP,28.3667,129.4833,79.72,83,99,6.58,overcast clouds
65,Bengkulu,ID,-3.8004,102.2655,74.82,85,100,4.29,overcast clouds
66,Pisco,PE,-13.7,-76.2167,62.02,88,100,4.61,mist
67,Mayumba,GA,-3.432,10.6554,71.76,81,69,8.84,broken clouds
68,Saint-Leu,RE,-21.15,55.2833,68.86,72,30,4.29,scattered clouds
69,Kunashak,RU,55.7032,61.5498,79.32,62,1,4.88,clear sky
70,Lubawa,PL,53.5043,19.7497,87.4,37,72,10.85,broken clouds
71,Verkhoyansk,RU,67.5447,133.385,56.44,54,100,2.59,overcast clouds
72,Neufahrn,DE,48.25,12.4333,94.73,52,20,6.82,light rain
73,Hobart,AU,-42.8794,147.3294,48.25,90,100,5.75,overcast clouds
74,Zhezkazgan,KZ,47.8043,67.7144,73.2,35,60,11.72,broken clouds
75,Monte Azul Paulista,BR,-20.9072,-48.6414,90.55,20,0,11.05,clear sky
76,Palencia,ES,42.4167,-4.5,86.92,33,31,20.15,scattered clouds
77,Skiathos,GR,39.1623,23.4909,85.96,65,0,3.44,clear sky
78,Yanam,IN,16.7333,82.2167,77.23,89,100,2.51,overcast clouds
79,Golden,US,39.7555,-105.2211,89.1,38,40,4.0,scattered clouds
80,Coquimbo,CL,-29.9533,-71.3436,55.13,71,0,6.91,clear sky
81,Carnarvon,AU,-24.8667,113.6333,63.52,57,0,15.39,clear sky
82,Camaqua,BR,-30.8511,-51.8122,53.17,76,100,7.63,overcast clouds
83,Maltahohe,NA,-24.8333,16.9833,73.18,8,3,13.67,clear sky
84,Jizan,SA,17.3333,42.6667,85.14,48,85,9.46,light rain
85,Tapiramuta,BR,-11.8472,-40.7914,70.41,65,99,6.06,overcast clouds
86,Aden,YE,12.7794,45.0367,86.77,68,6,11.23,clear sky
87,Bannu,PK,32.9854,70.6027,98.38,36,2,3.58,clear sky
88,Yuksekova,TR,37.5736,44.2872,89.35,17,20,10.36,few clouds
89,Schwanewede,DE,53.2333,8.6,70.02,56,62,1.99,broken clouds
90,Lebu,CL,-37.6167,-73.65,52.02,95,100,5.26,moderate rain
91,Ilulissat,GL,69.2167,-51.1,46.42,76,75,3.44,broken clouds
92,Sembakung,ID,3.8167,117.25,74.14,99,57,0.47,broken clouds
93,Port-De-Bouc,FR,43.4,4.9833,96.75,48,0,14.97,clear sky
94,Xuddur,SO,4.1213,43.8894,82.02,38,50,17.11,scattered clouds
95,Hofn,IS,64.2539,-15.2082,57.22,58,0,6.91,clear sky
96,Iralaya,HN,15.0,-83.2333,82.56,69,100,12.17,overcast clouds
97,Isangel,VU,-19.55,169.2667,75.31,94,40,3.44,scattered clouds
98,Broken Hill,AU,-31.95,141.4333,46.65,67,0,15.26,clear sky
99,Cape Town,ZA,-33.9258,18.4232,63.01,77,20,10.36,few clouds
100,Tanggu,CN,39.0211,117.6469,89.56,70,0,8.41,clear sky
101,Bolshaya Sosnova,RU,57.6713,54.6029,70.59,60,99,3.09,overcast clouds
102,Port Lincoln,AU,-34.7333,135.8667,54.14,69,97,14.45,overcast clouds
103,Port Alfred,ZA,-33.5906,26.891,62.19,81,24,4.0,few clouds
104,Axim,GH,4.8699,-2.2405,78.44,62,12,9.86,few clouds
105,Upernavik,GL,72.7868,-56.1549,42.73,92,100,7.63,overcast clouds
106,Dingle,PH,10.9995,122.6711,75.61,90,98,4.61,light rain
107,Uchiza,PE,-8.4592,-76.4633,83.48,57,74,2.66,broken clouds
108,Muros,ES,42.7762,-9.0603,83.16,50,29,15.57,scattered clouds
109,Sorong,ID,-0.8833,131.25,79.74,83,100,7.78,light rain
110,Umm Kaddadah,SD,13.6017,26.6876,91.92,36,71,7.02,broken clouds
111,Warri,NG,5.5167,5.75,81.19,63,100,7.43,overcast clouds
112,Tiksi,RU,71.6872,128.8694,39.27,98,74,2.62,broken clouds
113,Acapulco,MX,16.8634,-99.8901,84.02,70,40,5.75,scattered clouds
114,Myitkyina,MM,25.3833,97.4,74.17,99,67,0.72,broken clouds
115,Pringsewu,ID,-5.3582,104.9744,72.54,96,29,1.54,scattered clouds
116,Bredasdorp,ZA,-34.5322,20.0403,56.8,69,47,11.79,scattered clouds
117,Faanui,PF,-16.4833,-151.75,77.81,76,58,24.92,light rain
118,Katsuura,JP,35.1333,140.3,72.61,81,94,8.93,overcast clouds
119,Pontivy,FR,48.0,-3.0,75.04,29,15,17.2,few clouds
120,Kapaa,US,22.0752,-159.319,73.72,92,75,5.75,broken clouds
121,Sagua La Grande,CU,22.8067,-80.0756,85.19,62,18,14.29,few clouds
122,Yulara,AU,-25.2406,130.9889,49.6,33,0,9.13,clear sky
123,Issoudun,FR,47.0,1.8333,81.25,41,0,12.66,clear sky
124,Shimoda,JP,34.6667,138.95,72.1,84,95,8.21,overcast clouds
125,Bull Savanna,JM,17.8868,-77.5902,86.25,56,80,9.08,broken clouds
126,San Marcos,US,33.1434,-117.1661,81.97,78,0,1.99,clear sky
127,Iturama,BR,-19.7281,-50.1956,90.09,22,0,6.31,clear sky
128,Cerro Largo,BR,-28.1486,-54.7381,62.46,56,4,4.56,clear sky
129,Torbay,CA,47.6666,-52.7314,86.88,49,40,16.11,scattered clouds
130,Natal,BR,-5.795,-35.2094,86.22,58,40,21.85,scattered clouds
131,Bandarbeyla,SO,9.4942,50.8122,76.89,80,0,32.32,clear sky
132,Tashtyp,RU,52.7939,89.8983,56.97,60,81,5.39,broken clouds
133,Fortuna,US,40.5982,-124.1573,63.93,89,0,3.44,clear sky
134,Emerald,AU,-23.5333,148.1667,61.34,89,3,1.39,light rain
135,Sao Filipe,CV,14.8961,-24.4956,77.77,80,68,9.75,broken clouds
136,La Ronge,CA,55.1001,-105.2842,53.85,87,100,10.36,light intensity drizzle
137,Lisieux,FR,49.1667,0.1667,73.33,35,1,14.5,clear sky
138,Wlodawa,PL,51.55,23.55,85.95,42,14,7.23,few clouds
139,Sitka,US,57.0531,-135.33,57.09,88,100,9.22,overcast clouds
140,Ratnagiri,IN,16.9833,73.3,78.91,88,100,21.36,light rain
141,Waipawa,NZ,-41.4122,175.5153,50.94,76,100,10.51,overcast clouds
142,Karasuk,RU,53.7377,78.0403,64.8,57,1,8.52,clear sky
143,Yarada,IN,17.65,83.2667,80.92,83,75,5.75,mist
144,Beira,MZ,-19.8436,34.8389,73.49,78,0,11.5,clear sky
145,Mazatlan,MX,23.2167,-106.4167,90.01,79,40,1.99,scattered clouds
146,Touros,BR,-5.1989,-35.4608,82.2,68,23,18.19,few clouds
147,Nouadhibou,MR,20.931,-17.0347,70.74,89,1,14.76,clear sky
148,Lavrentiya,RU,65.5833,-171.0,38.79,92,100,11.86,light rain
149,Hambantota,LK,6.1241,81.1185,79.14,94,20,11.5,few clouds
150,Barrow,US,71.2906,-156.7887,50.31,87,76,5.37,broken clouds
151,Dedza,MW,-14.3779,34.3332,61.59,47,0,4.25,clear sky
152,Oranjestad,AW,12.524,-70.027,87.75,66,20,23.02,few clouds
153,Plonsk,PL,52.6235,20.3755,87.84,40,37,7.81,scattered clouds
154,Mount Isa,AU,-20.7333,139.5,69.57,43,75,10.36,broken clouds
155,Damaturu,NG,11.747,11.9608,86.85,50,96,7.34,overcast clouds
156,Tuktoyaktuk,CA,69.4541,-133.0374,62.6,72,40,12.66,scattered clouds
157,Ouesso,CG,1.6136,16.0517,77.49,80,98,2.55,light rain
158,Portree,GB,57.4129,-6.1942,57.52,70,14,13.24,few clouds
159,Chapais,CA,49.7834,-74.8492,64.18,34,7,3.94,clear sky
160,Nha Trang,VN,12.25,109.1833,78.8,88,100,6.11,overcast clouds
161,Hithadhoo,MV,-0.6,73.0833,82.56,70,100,9.53,overcast clouds
162,Zeya,RU,53.75,127.2667,66.72,98,100,8.59,moderate rain
163,Fukue,JP,32.6881,128.8419,82.8,87,8,10.74,clear sky
164,Thunder Bay,CA,48.4001,-89.3168,71.58,68,40,10.36,scattered clouds
165,Moba,CN,33.2288,105.0179,64.6,96,0,4.03,clear sky
166,Lewistown,US,40.5992,-77.5714,79.18,100,20,0.0,few clouds
167,East London,ZA,-33.0153,27.9116,65.34,72,0,4.61,clear sky
168,Muli,MV,2.9167,73.5667,81.97,77,100,14.9,overcast clouds
169,Manggar,ID,-2.8833,108.2667,77.85,78,100,1.3,overcast clouds
170,Vienenburg,DE,51.95,10.5667,69.12,82,94,10.54,overcast clouds
171,Broome,US,42.2506,-75.833,82.02,84,0,4.61,clear sky
172,Nikolskoye,RU,59.7035,30.7861,84.09,48,6,5.97,clear sky
173,Finschhafen,PG,-6.6024,147.8681,78.87,79,90,8.75,overcast clouds
174,Ostroda,PL,53.6967,19.9649,84.94,39,62,9.82,broken clouds
175,Sao Caetano De Odivelas,BR,-0.75,-48.02,88.81,55,50,8.19,scattered clouds
176,Manakara,MG,-22.1333,48.0167,67.78,83,0,8.84,clear sky
177,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,55,2,11.79,clear sky
178,Ribeira Grande,PT,38.5167,-28.7,79.2,78,20,4.61,few clouds
179,Bay City,US,43.5945,-83.8889,77.11,74,75,11.5,broken clouds
180,Salalah,OM,17.0151,54.0924,78.89,94,75,6.91,broken clouds
181,Krasnoarmeysk,RU,51.0239,45.6969,75.56,48,95,9.37,overcast clouds
182,Hasaki,JP,35.7333,140.8333,72.28,75,100,10.33,overcast clouds
183,Dalaba,GN,10.7,-12.25,68.61,90,88,4.36,light rain
184,Ekibastuz,KZ,51.6667,75.3667,69.62,38,2,5.84,clear sky
185,Baruun-Urt,MN,46.6806,113.2792,66.78,57,5,6.93,clear sky
186,Sun City West,US,33.662,-112.3413,92.84,53,0,3.44,clear sky
187,Gilbues,BR,-9.8317,-45.3439,94.23,26,20,7.23,few clouds
188,Butaritari,KI,3.0707,172.7902,81.64,77,22,12.53,few clouds
189,Shadrinsk,RU,56.0852,63.6335,67.95,60,9,1.43,clear sky
190,Qaqortoq,GL,60.7167,-46.0333,45.79,93,100,6.78,light rain
191,Soledade,BR,-28.8183,-52.5103,57.18,64,58,5.19,broken clouds
192,Avarua,CK,-21.2078,-159.775,71.65,83,75,16.11,broken clouds
193,Korcula,HR,42.9622,17.1369,80.76,70,0,10.38,clear sky
194,Yellowknife,CA,62.456,-114.3525,59.56,67,75,5.75,broken clouds
195,Jardim,BR,-21.4803,-56.1381,71.69,64,99,3.83,overcast clouds
196,Sergeyevka,KZ,53.88,67.4158,67.14,62,26,3.24,scattered clouds
197,Dorobantu,RO,44.2167,26.95,93.04,27,52,14.05,broken clouds
198,Tiarei,PF,-17.5333,-149.3333,71.62,79,76,27.6,light rain
199,Semey,KZ,50.4111,80.2275,66.43,33,0,11.03,clear sky
200,Bethel,US,41.3712,-73.414,89.15,65,0,3.44,clear sky
201,Wanning,CN,18.8003,110.3967,80.62,86,100,9.06,overcast clouds
202,Along,IN,28.1667,94.7667,76.14,98,49,0.56,scattered clouds
203,Nome,US,64.5011,-165.4064,48.27,93,100,4.61,overcast clouds
204,Georgetown,MY,5.4112,100.3354,84.13,87,40,3.44,scattered clouds
205,Panjab,AF,34.388,67.0233,61.65,34,19,7.05,few clouds
206,Lumby,CA,50.2498,-118.969,60.37,76,15,2.3,few clouds
207,Saint Anthony,US,45.0205,-93.218,83.84,60,0,13.8,clear sky
208,Innellan,GB,55.8919,-4.9616,63.99,59,44,15.26,scattered clouds
209,Lorengau,PG,-2.0226,147.2712,79.57,80,100,1.3,overcast clouds
210,Klaksvik,FO,62.2266,-6.589,54.52,78,39,17.2,scattered clouds
211,Puerto Leguizamo,CO,-0.1934,-74.7819,72.72,99,100,1.57,moderate rain
212,Linkoping,SE,58.4109,15.6216,66.58,80,100,9.22,overcast clouds
213,Markivka,UA,49.5229,39.5705,76.55,57,100,10.54,overcast clouds
214,Kieta,PG,-6.2167,155.6333,78.3,83,94,4.7,overcast clouds
215,Sangin,AF,32.0728,64.8359,95.14,8,0,10.11,clear sky
216,Roald,NO,62.5833,6.1333,62.17,62,40,23.02,light rain
217,Shu,KZ,43.5983,73.7614,79.0,36,100,6.51,overcast clouds
218,Le Port,RE,-20.9373,55.2919,69.8,65,49,4.34,scattered clouds
219,Bundaberg,AU,-24.85,152.35,65.21,99,100,3.44,overcast clouds
220,Badiraguato,MX,25.3667,-107.5167,83.75,59,100,2.06,overcast clouds
221,Banda Aceh,ID,5.5577,95.3222,79.81,78,71,12.77,broken clouds
222,Nhulunbuy,AU,-12.2333,136.7667,74.01,94,59,0.0,broken clouds
223,Cidreira,BR,-30.1811,-50.2056,58.01,74,94,15.66,overcast clouds
224,Boddam,GB,57.4667,-1.7833,62.98,61,64,11.36,broken clouds
225,College,US,64.8569,-147.8028,55.35,93,100,6.91,overcast clouds
226,San Jeronimo,PE,-11.9472,-75.2829,58.93,46,100,2.26,overcast clouds
227,Valparaiso,CL,-33.0393,-71.6273,62.83,41,0,14.97,clear sky
228,Kuito,AO,-12.3833,16.9333,79.21,15,20,7.78,few clouds
229,Santa Cruz Cabralia,BR,-16.2781,-39.0247,79.03,73,75,13.8,broken clouds
230,Kochi,IN,9.9399,76.2602,77.02,89,100,12.59,light rain
231,Buala,SB,-8.145,159.5921,78.58,80,82,1.19,broken clouds
232,Port Keats,AU,-14.25,129.55,72.66,81,31,4.68,scattered clouds
233,Chinsali,ZM,-10.5414,32.0816,67.6,38,0,5.46,clear sky
234,Sasykoli,RU,47.5515,46.9968,87.08,24,100,11.1,overcast clouds
235,Polunochnoye,RU,60.8697,60.4153,65.88,70,81,4.59,broken clouds
